Feature,Coef,P-value,-log10p
ln3,-2.83E-06,1.22E-05,4.915007242
cs3,-0.015803897,1.18E-05,4.928955818
exp,-0.001124219,0.000303687,3.517574008
#site_m,0.25684395,2.13E-29,28.67115985
#endo_m,0.020685808,0.026462549,1.577368322
#site_s,-0.096087846,0.000458275,3.338874297
p_ma,-0.019081989,0.080483278,1.094294345
e_oe,0.00727338,0.000852402,3.069355424
ln3:cs3,3.94E-07,0.490734868,0.309153084
ln3:exp,-2.84E-07,2.14E-18,17.66958993
ln3:#site_m,1.48E-06,0.176921334,0.752219795
ln3:#endo_m,1.84E-06,1.44E-16,15.84103519
ln3:#site_s,8.68E-07,0.026250076,1.580869438
ln3:p_ma,-4.69E-07,0.401187569,0.396652532
ln3:e_oe,-5.09E-07,0.178249045,0.748972789
cs3:exp,7.59E-05,0.672276785,0.172451885
cs3:#site_m,0.10223823,5.02E-08,7.29904158
cs3:#endo_m,-0.027518299,0.000143836,3.842131652
cs3:#site_s,0.011775068,3.25E-06,5.487463689
cs3:p_ma,0.002299274,0.416319908,0.380572821
cs3:e_oe,0.015830659,1.05E-10,9.977852179
exp:#site_m,0.00899945,1.53E-16,15.81588578
exp:#endo_m,0.000936208,0.041409029,1.382904954
exp:#site_s,-0.000496407,0.002085615,2.680765791
exp:p_ma,0.001429897,2.42E-07,6.61563286
exp:e_oe,0.001102657,2.24E-12,11.64989917
#site_m:#endo_m,-0.221894438,5.61E-45,44.25103531
#site_m:#site_s,0.013159268,0.402069013,0.395699396
#site_m:p_ma,-0.131376751,3.87E-10,9.412586394
#site_m:e_oe,0.073734522,1.98E-10,9.703068939
#endo_m:#site_s,-0.001134625,0.84371691,0.073803247
#endo_m:p_ma,0.000400551,0.95883541,0.018255936
#endo_m:e_oe,-0.008580668,0.145104296,0.838319728
#site_s:p_ma,0.119877581,5.62E-08,7.250318802
#site_s:e_oe,-0.035683116,0.027884011,1.554644753
p_ma:e_oe,0.024313262,0.024118046,1.617657876
