Experiment,Sample ID *,Internal miRNA ID
Baek MA,baek_m_mir_1,baek_m_mir_1
Baek MA,baek_m_mir_124,baek_m_mir_124
Baek MA,baek_m_mir_181,baek_m_mir_181
Baek,baek_p_mir_1,baek_p_mir_1
Baek,baek_p_mir_124,baek_p_mir_124
Baek,baek_p_mir_181,baek_p_mir_181
Lim,GSM37602,mirna-lim2005-chimiR-1/124
Lim,GSM37603,mirna-lim2005-chimiR-1/124
Lim,GSM37604,mirna-lim2005-chimiR-124/1
Lim,GSM37605,mirna-lim2005-chimiR-124/1
Lim,GSM37598,mirna-lim2005-miR-1
Lim,GSM37599,mirna-lim2005-miR-1
Lim,GSM37600,mirna-lim2005-miR-124
Lim,GSM37601,mirna-lim2005-miR-124
Lim,GSM37606,mirna-lim2005-miR-124mut5-6
Lim,GSM37607,mirna-lim2005-miR-124mut5-6
Lim,GSM37608,mirna-lim2005-miR-124mut9-10
Lim,GSM37609,mirna-lim2005-miR-124mut9-10
Lim,GSM37610,mirna-lim2005-miR-373
Lim,GSM37611,mirna-lim2005-miR-373
Jackson,GSM133702,sirna-jackson2006wso-1
Jackson,GSM134468,sirna-jackson2006wso-1
Jackson,GSM133701,sirna-jackson2006wso-10
Jackson,GSM134485,sirna-jackson2006wso-10
Jackson,GSM134508,sirna-jackson2006wso-10
Jackson,GSM133700,sirna-jackson2006wso-11
Jackson,GSM134484,sirna-jackson2006wso-11
Jackson,GSM134507,sirna-jackson2006wso-11
Jackson,GSM134483,sirna-jackson2006wso-12
Jackson,GSM134506,sirna-jackson2006wso-12
Jackson,GSM133699,sirna-jackson2006wso-13
Jackson,GSM134482,sirna-jackson2006wso-13
Jackson,GSM134505,sirna-jackson2006wso-13
Jackson,GSM133698,sirna-jackson2006wso-14
Jackson,GSM134481,sirna-jackson2006wso-14
Jackson,GSM134504,sirna-jackson2006wso-14
Jackson,GSM133697,sirna-jackson2006wso-15
Jackson,GSM134480,sirna-jackson2006wso-15
Jackson,GSM134503,sirna-jackson2006wso-15
Jackson,GSM133696,sirna-jackson2006wso-16
Jackson,GSM134479,sirna-jackson2006wso-16
Jackson,GSM134502,sirna-jackson2006wso-16
Jackson,GSM133695,sirna-jackson2006wso-17
