Feature,Coef,Pvalue,-log10p
ln3,-1.60E-06,0.011925824,1.923511595
cs3,-0.008366786,0.019318299,1.714031125
exp,-0.001568955,2.59E-07,6.586048885
#site_m,0.159028884,4.01E-10,9.396500422
#endo_m,0.009391765,0.304168389,0.516885922
#site_s,-0.097095613,0.000295034,3.530128515
p_ma,-0.012706529,0.239896623,0.619975865
e_oe,0.003253876,0.128033499,0.892676387
ts_score,0.065575654,7.32E-12,11.13573822
ln3:cs3,9.99E-07,0.079045994,1.102120133
ln3:exp,-2.48E-07,8.53E-15,14.06908328
ln3:#site_m,2.51E-06,0.04108057,1.386363539
ln3:#endo_m,7.29E-07,0.000920571,3.035942721
ln3:#site_s,7.57E-07,0.047937352,1.319325957
ln3:p_ma,-2.36E-07,0.665962223,0.176550406
ln3:e_oe,-1.89E-07,0.609903477,0.214738891
ln3:ts_score,-9.05E-06,8.39E-19,18.07603485
cs3:exp,-0.000210957,0.234127943,0.630546751
cs3:#site_m,0.063088756,0.003621569,2.44110321
cs3:#endo_m,-0.030869619,1.57E-05,4.804938386
cs3:#site_s,0.011989538,1.74E-06,5.758989552
cs3:p_ma,-0.000515518,0.853673874,0.06870801
cs3:e_oe,0.011256547,3.69E-06,5.433102786
cs3:ts_score,-0.056098519,1.49E-14,13.82670741
exp:#site_m,0.002073852,0.075893396,1.119796014
exp:#endo_m,0.001163854,0.009384581,2.027585129
exp:#site_s,-0.000576086,0.000255828,3.592052003
exp:p_ma,0.001497452,3.07E-08,7.512962288
exp:e_oe,0.001052792,6.52E-12,11.18585865
exp:ts_score,0.008284526,3.99E-66,65.39935915
#site_m:#endo_m,-0.050965831,0.001854836,2.731694567
#site_m:#site_s,0.079648242,1.72E-06,5.764690568
#site_m:p_ma,-0.182652224,8.11E-15,14.0911118
#site_m:e_oe,0.011835961,0.335633255,0.474135015
#site_m:ts_score,-0.016918648,0.320827576,0.49372831
#endo_m:#site_s,-0.00650073,0.248378993,0.604885138
#endo_m:p_ma,0.003415606,0.652117952,0.185673844
#endo_m:e_oe,-0.008238802,0.151727348,0.818936132
#endo_m:ts_score,0.044847948,0.00152743,2.8160388
#site_s:p_ma,0.110263074,2.75E-07,6.561220289
#site_s:e_oe,-0.027099317,0.091634949,1.037938855
#site_s:ts_score,-0.035149695,8.23E-08,7.084730455
p_ma:e_oe,0.019092069,0.073869883,1.13153259
p_ma:ts_score,0.04113798,8.56E-07,6.067689011
e_oe:ts_score,0.06617109,2.56E-33,32.59133846
