Experiment,Very Long,Long,Med Long,Med Short,Short
Grimson,0.9916,1.44E-06**,0.0001501**,0.3243,0.04871*
Linsley,0.9712,0.9938,1.19E-15**,0.0001545**,6.07E-06**
Lim,0.971,0.9478,4.99E-06**,1.25E-14**,0.0001177**
Jackson,0.9979,0.848,1.12E-05**,1.99E-06**,0.001449*
Baek,0.4815,0.683,0.8718,0.2318,0.488
Selbach,0.9702,0.6291,0.2414,0.01213*,0.06909
Baek MA,0.9893,0.9797,0.0002018**,4.00E-08**,0.02661*
Selbach MA,0.9962,0.35,0.0002901**,0.0005103**,0.1217
Selbach LNA,0.7271,0.2991,0.9337,0.1318,0.4176
Linsley OME,0.9239,0.4324,0.01998*,0.1771,0.3337
